,delta_org_minus_base
h462,-0.0001281715929507543
h734,-0.00012857988476755455
h663,-0.0001287013292312622
h634,-0.00012873485684394836
h702,-0.00013277307152748108
h402,-0.00013430118560797677
h363,-0.00013841129839420319
h333,-0.0001388024538755417
h563,-0.0001422025263310145
h516,-0.0001659940928221415
h754,-0.0001795616000891398
h443,-0.00018001794815059036
h53,-0.00018048882484433815
h141,-0.00019136033952238396
h695,-0.0002185594290495807
